class name,time,location,instructors,dates,campus
AFA 2004 - Black Popular Cultures: Global Dimensions,TuTh 11:00AM - 12:15PM,Charles E. Perry (PC) 443,Brittany Davis,01/08/2024 - 04/20/2024,Modesto A. Maidique Campus
ARC 1132 - Design Graphics 2,Th 12:30PM - 1:45PM,Paul Cejas Architecture 115,"Nicholas Nedev,
Suzanne Perez",01/08/2024 - 04/20/2024,Modesto A. Maidique Campus
ARC 1132 - Design Graphics 2,Th 12:30PM - 1:45PM,Paul Cejas Architecture 115,"Nicholas Nedev,
Holly Zickler",01/08/2024 - 04/20/2024,Modesto A. Maidique Campus
ARC 1132 - Design Graphics 2,Th 12:30PM - 1:45PM,Paul Cejas Architecture 115,"Nicholas Nedev,
Elite Kedan",01/08/2024 - 04/20/2024,Modesto A. Maidique Campus
ARC 1132 - Design Graphics 2,Th 12:30PM - 1:45PM,Paul Cejas Architecture 120,"Nicholas Nedev,
Andres Pineda",01/08/2024 - 04/20/2024,Modesto A. Maidique Campus
ARC 1132 - Design Graphics 2,Th 12:30PM - 1:45PM,Paul Cejas Architecture 120,"Nicholas Nedev,
Nadine Saint-Louis",01/08/2024 - 04/20/2024,Modesto A. Maidique Campus
ARC 1132 - Design Graphics 2,Th 12:30PM - 1:45PM,Paul Cejas Architecture 120,"Nicholas Nedev,
Olga Kusche Iglesias",01/08/2024 - 04/20/2024,Modesto A. Maidique Campus
ARC 1132 - Design Graphics 2,Th 12:30PM - 1:45PM,Paul Cejas Architecture 125,"Nicholas Nedev,
Moises Torres-Rodriguez",01/08/2024 - 04/20/2024,Modesto A. Maidique Campus
ARC 1132 - Design Graphics 2,Th 12:00PM - 1:45PM,Paul Cejas Architecture 125,"Nicholas Nedev,
Laura De la Vega Chaple",01/08/2024 - 04/20/2024,Modesto A. Maidique Campus
ARC 1132 - Design Graphics 2,Th 12:30PM - 1:45PM,Paul Cejas Architecture 220,"Nicholas Nedev,
Natalie Molina",01/08/2024 - 04/20/2024,Modesto A. Maidique Campus
ARC 1132 - Design Graphics 2,Th 12:30PM - 1:45PM,Paul Cejas Architecture 120,"Sandra Socarras,
Nicholas Nedev",01/08/2024 - 04/20/2024,Modesto A. Maidique Campus
ARC 1302 - Design Studio 2,MoWe 2:00PM - 6:15PM,Paul Cejas Architecture 115,"Nicholas Nedev,
Suzanne Perez",01/08/2024 - 04/20/2024,Modesto A. Maidique Campus
ARC 1302 - Design Studio 2,MoWe 2:00PM - 6:15PM,Paul Cejas Architecture 115,"Nicholas Nedev,
Holly Zickler",01/08/2024 - 04/20/2024,Modesto A. Maidique Campus
ARC 1302 - Design Studio 2,MoWe 2:00PM - 6:15PM,Paul Cejas Architecture 115,"Nicholas Nedev,
Elite Kedan",01/08/2024 - 04/20/2024,Modesto A. Maidique Campus
ARC 1302 - Design Studio 2,MoWe 2:00PM - 6:15PM,Paul Cejas Architecture 115,"Nicholas Nedev,
Andres Pineda",01/08/2024 - 04/20/2024,Modesto A. Maidique Campus
ARC 1302 - Design Studio 2,MoWe 2:00PM - 6:15PM,Paul Cejas Architecture 120,"Nicholas Nedev,
Nadine Saint-Louis",01/08/2024 - 04/20/2024,Modesto A. Maidique Campus
ARC 1302 - Design Studio 2,MoWe 2:00PM - 6:15PM,Paul Cejas Architecture 120,"Nicholas Nedev,
Olga Kusche Iglesias",01/08/2024 - 04/20/2024,Modesto A. Maidique Campus
ARC 1302 - Design Studio 2,MoWe 2:00PM - 6:15PM,Paul Cejas Architecture 125,"Nicholas Nedev,
Moises Torres-Rodriguez",01/08/2024 - 04/20/2024,Modesto A. Maidique Campus
ARC 1302 - Design Studio 2,MoWe 2:00PM - 6:15PM,Paul Cejas Architecture 125,"Nicholas Nedev,
Laura De la Vega Chaple",01/08/2024 - 04/20/2024,Modesto A. Maidique Campus
ARC 1302 - Design Studio 2,MoWe 2:00PM - 6:15PM,Paul Cejas Architecture 115,"Nicholas Nedev,
Natalie Molina",01/08/2024 - 04/20/2024,Modesto A. Maidique Campus
ARC 1302 - Design Studio 2,MoWe 2:00PM - 6:15PM,Paul Cejas Architecture 115,"Nicholas Nedev,
Sandra Socarras",01/08/2024 - 04/20/2024,Modesto A. Maidique Campus
ARC 2304 - Design Studio 4,MoWe 2:00PM - 6:15PM,Paul Cejas Architecture 115,Jason Chandler,01/08/2024 - 04/20/2024,Modesto A. Maidique Campus
ARC 2304 - Design Studio 4,MoWe 2:00PM - 6:15PM,Paul Cejas Architecture 115,Schneur Meyer,01/08/2024 - 04/20/2024,Modesto A. Maidique Campus
