class name,time,location,instructors,dates,campus
ACG 2021 - Accounting for Decisions,Mo 5:00PM - 7:40PM,Mgmt and New Growth Opp 221,Lazaro Alfaro Jr,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ACG 2021 - Accounting for Decisions,Mo 8:00AM - 10:45AM,Viertes Haus 131,Alexander Sueiro,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ACG 2021 - Accounting for Decisions,We 12:00PM - 2:45PM,College of Business Complex154,Evans Adu,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ACG 2021 - Accounting for Decisions,Tu 2:00PM - 4:45PM,Mgmt & Advanced Resrch Ctr 335,Vanessa Vandamas,08/27/2024 - 08/27/2024,Modesto A. Maidique Campus
ACG 2021 - Accounting for Decisions,Tu 2:00PM - 4:45PM,Mgmt & Advanced Resrch Ctr 335,Vanessa Vandamas,09/03/2024 - 09/03/2024,Modesto A. Maidique Campus
ACG 2021 - Accounting for Decisions,Tu 2:00PM - 4:45PM,Mgmt & Advanced Resrch Ctr 335,Vanessa Vandamas,09/10/2024 - 09/10/2024,Modesto A. Maidique Campus
ACG 2021 - Accounting for Decisions,Tu 2:00PM - 4:45PM,Ryder Business 140,Vanessa Vandamas,09/17/2024 - 09/17/2024,Modesto A. Maidique Campus
ACG 2021 - Accounting for Decisions,Tu 2:00PM - 4:45PM,Mgmt & Advanced Resrch Ctr 335,Vanessa Vandamas,09/24/2024 - 09/24/2024,Modesto A. Maidique Campus
ACG 2021 - Accounting for Decisions,Tu 2:00PM - 4:45PM,Mgmt & Advanced Resrch Ctr 335,Vanessa Vandamas,10/01/2024 - 10/01/2024,Modesto A. Maidique Campus
ACG 2021 - Accounting for Decisions,Tu 2:00PM - 4:45PM,Mgmt & Advanced Resrch Ctr 335,Vanessa Vandamas,10/08/2024 - 10/08/2024,Modesto A. Maidique Campus
ACG 2021 - Accounting for Decisions,Tu 2:00PM - 4:45PM,Ryder Business 140,Vanessa Vandamas,10/15/2024 - 10/15/2024,Modesto A. Maidique Campus
ACG 2021 - Accounting for Decisions,Tu 2:00PM - 4:45PM,Mgmt & Advanced Resrch Ctr 335,Vanessa Vandamas,10/22/2024 - 10/22/2024,Modesto A. Maidique Campus
ACG 2021 - Accounting for Decisions,Tu 2:00PM - 4:45PM,Mgmt & Advanced Resrch Ctr 335,Vanessa Vandamas,10/29/2024 - 10/29/2024,Modesto A. Maidique Campus
ACG 2021 - Accounting for Decisions,Tu 2:00PM - 4:45PM,Mgmt & Advanced Resrch Ctr 335,Vanessa Vandamas,11/05/2024 - 11/05/2024,Modesto A. Maidique Campus
ACG 2021 - Accounting for Decisions,Tu 2:00PM - 4:45PM,Mgmt & Advanced Resrch Ctr 335,Vanessa Vandamas,11/12/2024 - 11/12/2024,Modesto A. Maidique Campus
ACG 2021 - Accounting for Decisions,Tu 2:00PM - 4:45PM,Mgmt & Advanced Resrch Ctr 335,Vanessa Vandamas,11/19/2024 - 11/19/2024,Modesto A. Maidique Campus
ACG 2021 - Accounting for Decisions,Tu 2:00PM - 4:45PM,Mgmt & Advanced Resrch Ctr 335,Vanessa Vandamas,11/26/2024 - 11/26/2024,Modesto A. Maidique Campus
ACG 2021 - Accounting for Decisions,Tu 2:00PM - 4:45PM,Mgmt & Advanced Resrch Ctr 335,Vanessa Vandamas,12/03/2024 - 12/07/2024,Modesto A. Maidique Campus
ACG 2021 - Accounting for Decisions,Tu 11:00AM - 1:45PM,Mgmt and New Growth Opp 222,Pablo Simon,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ACG 2021 - Accounting for Decisions,We 7:50PM - 10:30PM,Academic Health Center 3 - 214,Marvin Williams,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ACG 3301 - Managerial Accounting,We 12:00PM - 2:45PM,Ocean Bank Convoc Center 119,Pablo Simon,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ACG 3301 - Managerial Accounting,Th 10:00AM - 12:45PM,Green Library 100A,Yanglin Li,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ACG 3301 - Managerial Accounting,Mo 11:00AM - 1:45PM,Mgmt and New Growth Opp 221,Pablo Simon,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ACG 3301 - Managerial Accounting,Th 5:00PM - 7:40PM,Green Library 100B,Raphael Gyabeng,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ACG 3301 - Managerial Accounting,Tu 5:00PM - 7:40PM,Academic Health Center 4 -101,Pablo Simon,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ACG 4101 - Financial Accounting I,Mo 11:00AM - 1:45PM,College of Business Complex154,Stanislav Jansta,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ACG 4101 - Financial Accounting I,Tu 11:00AM - 1:45PM,Charles E. Perry (PC) 428,Xiaochuan Huang,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ACG 4101 - Financial Accounting I,Tu 2:00PM - 4:45PM,SCH INTNL & PUB AFFAIRS 2 205,Kenneth Henry,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ACG 4111 - Financial Accounting II,Tu 5:00PM - 7:40PM,Graham Center 283A,Desiree Elias,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ACG 4111 - Financial Accounting II,We 5:00PM - 7:40PM,Green Library 139,Jimmy Carmenate,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ACG 4341 - Management Accounting,We 3:30PM - 6:15PM,Charles E. Perry (PC) 211,Kenneth Henry,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ACG 4401 - Accounting Information Systems,We 11:00AM - 1:45PM,Ryder Business 170,Kenneth Henry,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ACG 4651 - Auditing,Tu 8:00AM - 10:45AM,Mgmt and New Growth Opp 220,Stanislav Jansta,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
BUL 4310 - The Legal Environment of Business,We 11:00AM - 1:45PM,Charles E. Perry (PC) 438,David Barman,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
BUL 4310 - The Legal Environment of Business,We 8:00AM - 10:45AM,Mgmt and New Growth Opp 222,Wendy Gelman,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
BUL 4310 - The Legal Environment of Business,Tu 2:00PM - 4:45PM,Mgmt and New Growth Opp 222,David Barman,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
BUL 4310 - The Legal Environment of Business,We 2:00PM - 4:45PM,Mgmt and New Growth Opp 222,Thomas Tarangelo,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
BUL 4310 - The Legal Environment of Business,Mo 11:00AM - 1:45PM,Green Library 165,Christopher Buscaglia,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
BUL 4310 - The Legal Environment of Business,Mo 6:00PM - 8:40PM,Green Library 139,Steven Davis,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
BUL 4310 - The Legal Environment of Business,Mo 8:00AM - 10:45AM,College of Business Complex140,Wendy Gelman,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
BUL 4321 - Advanced Business Law,Tu 2:00PM - 4:45PM,Ocean Bank Convoc Center 121,Thomas Tarangelo,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
TAX 4001 - Income Tax Accounting,Mo 5:00PM - 7:40PM,Mgmt and New Growth Opp 222,Jose Aldrich,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
TAX 4011 - Taxation of Corporations and Partnerships,Mo 2:00PM - 4:45PM,Charles E. Perry (PC) 213,Robert Fernandez,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
AFA 5855 - Research Methods and Scholarly Writing in Africana Studies,Tu 5:00PM - 7:40PM,Charles E. Perry (PC) 445,Mohammed Farouk,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 1131 - Design Graphics 1,Th 12:30PM - 1:45PM,Paul Cejas Architecture 110,"Nicholas Nedev,",08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 1131 - Design Graphics 1,Th 12:30PM - 1:45PM,Paul Cejas Architecture 110,"Nicholas Nedev,",08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 1131 - Design Graphics 1,Th 12:30PM - 1:45PM,Paul Cejas Architecture 115,"Nicholas Nedev,",08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 1131 - Design Graphics 1,Th 12:30PM - 1:45PM,Paul Cejas Architecture 115,"Nicholas Nedev,",08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 1131 - Design Graphics 1,Th 12:30PM - 1:45PM,Paul Cejas Architecture 120,"Nicholas Nedev,",08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 1131 - Design Graphics 1,Th 12:30PM - 1:45PM,Paul Cejas Architecture 120,"Nicholas Nedev,",08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 1131 - Design Graphics 1,Th 12:30PM - 1:45PM,Paul Cejas Architecture 115,"Nicholas Nedev,",08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 1131 - Design Graphics 1,Th 12:30PM - 1:45PM,Paul Cejas Architecture 115,"Nicholas Nedev,",08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 1301 - Design Studio 1,MoWe 2:00PM - 6:15PM,Paul Cejas Architecture 110,"Nicholas Nedev,",08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 1301 - Design Studio 1,MoWe 2:00PM - 6:15PM,Paul Cejas Architecture 110,"Nicholas Nedev,",08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 1301 - Design Studio 1,MoWe 2:00PM - 6:15PM,Paul Cejas Architecture 115,"Nicholas Nedev,",08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 1301 - Design Studio 1,MoWe 2:00PM - 6:15PM,Paul Cejas Architecture 115,"Nicholas Nedev,",08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 1301 - Design Studio 1,MoWe 2:00PM - 6:15PM,Paul Cejas Architecture 115,"Nicholas Nedev,",08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 1301 - Design Studio 1,MoWe 2:00PM - 6:15PM,Paul Cejas Architecture 115,"Nicholas Nedev,",08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 1301 - Design Studio 1,MoWe 2:00PM - 6:15PM,Paul Cejas Architecture 120,"Nicholas Nedev,",08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 1301 - Design Studio 1,MoWe 2:00PM - 6:15PM,Paul Cejas Architecture 120,"Nicholas Nedev,",08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 1461 - Materials and Methods of Design,TuTh 11:00AM - 12:15PM,Paul Cejas Architecture 135,"Jaime Canaves,",08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 2303 - Design Studio 3,MoWe 2:00PM - 6:15PM,Paul Cejas Architecture 220,Nicholas Gelpi,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 2303 - Design Studio 3,MoWe 2:00PM - 6:15PM,Paul Cejas Architecture 220,Carlos Sarmiento,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 2303 - Design Studio 3,MoWe 2:00PM - 6:15PM,Paul Cejas Architecture 215,Marcelo Ertorteguy,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 2303 - Design Studio 3,MoWe 2:00PM - 6:15PM,Paul Cejas Architecture 215,Elmer Garcia,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 2303 - Design Studio 3,MoWe 2:00PM - 6:15PM,Paul Cejas Architecture 115,Henry Rueda Coronel,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 2303 - Design Studio 3,MoWe 2:00PM - 6:15PM,Paul Cejas Architecture 120,Ayxa Arechavaleta,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 2303 - Design Studio 3,MoWe 2:00PM - 6:15PM,Paul Cejas Architecture 215,Maria D Alessandro,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 2701 - History of Design from Antiquity to the Middle Ages,MoWeFr 10:00AM - 10:50AM,Green Library 100,"Elliott Sturtevant,",08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 4058 - Fundamentals of Digital Design,MoWe 8:00AM - 9:15AM,Paul Cejas Architecture 135,Nicholas Gelpi,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 5075 - Formative Studio,TuTh 2:00PM - 6:15PM,Paul Cejas Architecture 210,Sara Valente,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 5176C - Computer Practices in Design II,Fr 9:30AM - 12:00PM,Paul Cejas Architecture 150,Ali Qureshi,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 5329 - Architectural Design 5,TuTh 2:00PM - 6:15PM,Paul Cejas Architecture 215,Elisa Silva,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
