class name,time,location,instructors,dates,campus
BME 2740 - Biomedical Engineering Modeling and Simulation,MoWeFr 8:00AM - 8:50AM,Engineering Center 1104,Ilmar Tamames,01/08/2024 - 04/20/2024,Engineering Center
BME 3403 - Engineering Analysis of Biological Systems I,MoWeFr 11:00AM - 11:50AM,Engineering Center 1105,Michael Brown,01/08/2024 - 04/20/2024,Engineering Center
BME 3404 - Engineering Analysis of Biological Systems II,MoWeFr 2:00PM - 2:50PM,Engineering Center 1107,Michael Brown,01/08/2024 - 04/20/2024,Engineering Center
BME 3721 - Biomedical Engineering Data Evaluation Principles,MoWeFr 6:25PM - 7:25PM,Engineering Center 1105,Markondeyaraj Pulugurtha,01/08/2024 - 04/20/2024,Engineering Center
BME 4011 - Clinical Rotations for Biomedical Engineering,Th 2:00PM - 3:15PM,Engineering Center 1116,Michael Brown,01/08/2024 - 04/20/2024,Engineering Center
BME 4051L - Biomedical Engineering Lab II,Tu 8:00AM - 10:45AM,Engineering Center 2360,Shuliang Jiao,01/08/2024 - 04/20/2024,Engineering Center
BME 4051L - Biomedical Engineering Lab II,Tu 2:00PM - 4:45PM,Engineering Center 2360,Shuliang Jiao,01/08/2024 - 04/20/2024,Engineering Center
BME 4051L - Biomedical Engineering Lab II,We 2:00PM - 4:45PM,Engineering Center 2360,Michael Christie,01/08/2024 - 04/20/2024,Engineering Center
BME 4051L - Biomedical Engineering Lab II,Mo 2:00PM - 4:45PM,Engineering Center 2360,Shuliang Jiao,01/08/2024 - 04/20/2024,Engineering Center
BME 4051L - Biomedical Engineering Lab II,Th 2:00PM - 4:45PM,Engineering Center 2360,Michael Christie,01/08/2024 - 04/20/2024,Engineering Center
BME 4211 - Orthopaedic Biomechan,TuTh 8:00AM - 9:15AM,Engineering Center 2440,Anamika Prasad,01/08/2024 - 04/20/2024,Engineering Center
BME 4230 - Biomechanics of Cardiovascular Systems,TuTh 12:30PM - 1:45PM,Engineering Center 1116,Joshua Hutcheson,01/08/2024 - 04/20/2024,Engineering Center
BME 4260 - Engineering Hemodynamics,Tu 8:00AM - 9:15AM,Engineering Center  2410,Michael Christie,01/08/2024 - 04/20/2024,Engineering Center
BME 4800C - Design of Biomedical Systems and Devices,MoWeFr 8:00AM - 8:50AM,Engineering Center 2330,Hamid Shahrestani,01/08/2024 - 04/20/2024,Engineering Center
BME 4908 - Senior Design Project,We 5:00PM - 6:15PM,Engineering Center 2420,Michael Christie,01/08/2024 - 04/20/2024,Engineering Center
BME 5036 - Biotran Processes,MoWe 6:25PM - 7:40PM,Engineering Center 2680,Anthony McGoron,01/08/2024 - 04/20/2024,Engineering Center
BME 5200 - Orthopedic Biomechanics,TuTh 8:00AM - 9:15AM,Engineering Center 2440,Anamika Prasad,01/08/2024 - 04/20/2024,Engineering Center
