class name,time,location,instructors,dates,campus
ARC 4058 - Fundamentals of Digital Design,TuTh 10:00AM - 1:20PM,Paul Cejas Architecture 310,TBA OCM,06/17/2024 - 07/26/2024,Modesto A. Maidique Campus
ARC 5077 - Formative Studio 3,TuTh 12:45PM - 6:20PM,Paul Cejas Architecture 341,Ronald Mcmurry,05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
ARC 5176C - Computer Practices in Design II,TuTh 6:30PM - 8:00PM,Paul Cejas Architecture 165,Ali Qureshi,05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
ARC 5340 - Architectural Design 7,TuTh 12:45PM - 6:20PM,Paul Cejas Architecture 115,TBA OCM,05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
ARC 5340 - Architectural Design 7,TuTh 12:45PM - 6:20PM,Paul Cejas Architecture 115,Luis Pacheco,05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
ARC 5340 - Architectural Design 7,TuTh 12:45PM - 6:20PM,Paul Cejas Architecture 120,Marcelo Ertorteguy,05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
ARC 5340 - Architectural Design 7,TuTh 12:45PM - 6:20PM,Paul Cejas Architecture 120,Di Wu,05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
ARC 5361 - Integrated Comprehensive Design,TuTh 12:40PM - 6:00PM,Paul Cejas Architecture 320,Henry Rueda Coronel,05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
ARC 5361 - Integrated Comprehensive Design,TuTh 12:40PM - 6:00PM,Paul Cejas Architecture 320,Moises Torres-Rodriguez,05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
ARC 5361 - Integrated Comprehensive Design,TuTh 12:40PM - 6:00PM,Paul Cejas Architecture 315,Juan Alayo,05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
ARC 5361 - Integrated Comprehensive Design,TuTh 12:40PM - 6:00PM,Paul Cejas Architecture 315,Carlos Sarmiento,05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
ARC 5483 - Integrated Building Systems,TuTh 9:30AM - 11:05AM,Paul Cejas Architecture 150,Mark Marine,05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
ARC 5554 - Structures 2,Tu 8:55AM - 10:40AM,Charles E. Perry (PC) 432,"Claudia Garcia,",05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
ARC 5554L - Structures 2 Lab,Th 8:55AM - 10:40AM,Paul Cejas Architecture 341,"Claudia Garcia,",05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
ARC 5612 - Environmental Systems in Architecture 1,TuTh 6:30PM - 8:05PM,Paul Cejas Architecture 150,Megan Suarez,05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
ARE 3313 - Content and Methods of Teaching Elementary Art,MoWeFr 5:30PM - 8:15PM,Ziff Education Bldg 160,Mabel Morales,06/17/2024 - 07/26/2024,Modesto A. Maidique Campus
ARH 2000 - Exploring Art,TuTh 9:00AM - 12:20PM,Chem & Physics 145,Roxana Corradino,06/17/2024 - 07/26/2024,Modesto A. Maidique Campus
ARH 2000 - Exploring Art,MoWe 9:00AM - 12:20PM,Chem & Physics 145,Roxana Corradino,06/17/2024 - 07/26/2024,Modesto A. Maidique Campus
ARH 3930 - Special Topics in Art History,TuTh 1:00PM - 4:20PM,Charles E. Perry (PC) 214,Colette Mello,06/17/2024 - 07/26/2024,Modesto A. Maidique Campus
ARH 5897 - Special Topics in Art History,TuTh 1:00PM - 4:20PM,Charles E. Perry (PC) 214,Colette Mello,06/17/2024 - 07/26/2024,Modesto A. Maidique Campus
ART 1201C - 2d Design,MoWe 9:00AM - 4:50PM,West 1 Room 131,Kerry Phillips,06/17/2024 - 07/26/2024,Modesto A. Maidique Campus
ART 1203C - 3d Design,TuTh 9:00AM - 4:50PM,West 1 Room 114,TBA OCM,05/06/2024 - 06/14/2024,Modesto A. Maidique Campus
ART 1203C - 3d Design,MoWe 9:00AM - 4:50PM,West 1 Room 114,Sterling Rook,06/17/2024 - 07/26/2024,Modesto A. Maidique Campus
ART 2300C - Beginning Drawing,TuTh 9:00AM - 4:50PM,West 1 Room 131,Juan (Sebastian) Restrepo,06/17/2024 - 07/26/2024,Modesto A. Maidique Campus
ART 2330C - Beginning Figure Drawing,TuTh 9:00AM - 4:50PM,West 10 (W10) 101,Jahaira Galvez,06/17/2024 - 07/26/2024,Modesto A. Maidique Campus
ART 2400C - Beginning Printmaking,Fr 9:30AM - 5:30PM,West 1 Room 131,John Colon,05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
ART 2500C - Beginning Painting,TuTh 9:00AM - 4:50PM,West 9 Room 110,Emma Ortiz,06/17/2024 - 07/26/2024,Modesto A. Maidique Campus
ART 2602C - Digital Imaging,MoWe 9:00AM - 4:50PM,Art Studio Room 115,Endam Nihan Tasbasi,06/17/2024 - 07/26/2024,Modesto A. Maidique Campus
ART 2608C - Digital Media Foundation,TuTh 9:00AM - 4:50PM,West 1 Room 120,Endam Nihan Tasbasi,06/17/2024 - 07/26/2024,Modesto A. Maidique Campus
ART 2750C - Beginning Ceramics,TuTh 9:00AM - 12:40PM,Studio W1C 110,Victoria Carballo,05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
ART 3310C - Intermediate Drawing,TuTh 5:00PM - 8:40PM,West 10 (W10) 101,Victoria Ravelo,05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
ART 3332C - Intermediate Figure Drawing,MoWe 9:00AM - 4:50PM,West 10 (W10) 101,TBA OCM,06/17/2024 - 07/26/2024,Modesto A. Maidique Campus
ART 3402C - Intermediate Printmaking,Fr 9:30AM - 5:30PM,West 1 Room 131,TBA OCM,05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
ART 3504C - Intermediate Painting,MoWe 1:00PM - 4:40PM,West 9 Room 110,Richard Garet,05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
ART 3760C - Intermediate Ceramics,TuTh 9:00AM - 12:40PM,Studio W1C 110,Victoria Carballo,05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
ART 3820 - Research & Development,MoWe 1:00PM - 4:20PM,Studio W1C 110,Tori Arpad-Cotta,06/17/2024 - 07/26/2024,Modesto A. Maidique Campus
ART 4312C - Advanced Drawing,TuTh 5:00PM - 8:40PM,West 10 (W10) 101,TBA OCM,05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
ART 4333C - Advanced Figure Drawing,MoWe 9:00AM - 4:50PM,West 10 (W10) 101,TBA OCM,06/17/2024 - 07/26/2024,Modesto A. Maidique Campus
ART 4403C - Advanced Printmaking,Fr 9:30AM - 5:30PM,West 1 Room 131,TBA OCM,05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
ART 4505C - Advanced Painting,MoWe 1:00PM - 4:40PM,West 9 Room 110,Richard Garet,05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
ART 4768C - Advanced Ceramics,TuTh 9:00AM - 12:40PM,Studio W1C 110,Victoria Carballo,05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
ART 5390C - Drawing,TuTh 5:00PM - 8:40PM,West 10 (W10) 101,TBA OCM,05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
ART 5391C - Figure Drawing,MoWe 9:00AM - 4:50PM,West 10 (W10) 101,TBA OCM,06/17/2024 - 07/26/2024,Modesto A. Maidique Campus
ART 5408C - Printmaking,Fr 9:30AM - 5:30PM,West 1 Room 131,TBA OCM,05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
ART 5580C - Painting,MoWe 1:00PM - 4:40PM,West 9 Room 110,Richard Garet,05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
ART 5790C - Ceramics,TuTh 9:00AM - 12:40PM,Studio W1C 110,Victoria Carballo,05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
GRA 2106C - Typography,Fr 9:00AM - 4:50PM,Art Studio Room 115,Daniel Marosi,06/17/2024 - 07/26/2024,Modesto A. Maidique Campus
GRA 2111 - Graphic Design I,Tu 9:00AM - 4:50PM,Art Studio Room 115,Daniel Marosi,06/17/2024 - 07/26/2024,Modesto A. Maidique Campus
GRA 2151C - Illustration,Th 9:00AM - 4:50PM,Art Studio Room 115,Daniel Marosi,06/17/2024 - 07/26/2024,Modesto A. Maidique Campus
GRA 3803C - Design for Mobility,MoWe 9:00AM - 4:50PM,West 1 Room 120,Carlos Causo,06/17/2024 - 07/26/2024,Modesto A. Maidique Campus
ASN 3410 - Introduction to East Asia,We 11:45AM - 3:05PM,Charles E. Perry (PC) 416,Jhonatan Baez,06/17/2024 - 07/26/2024,Modesto A. Maidique Campus
ASN 3410 - Introduction to East Asia,Th 11:45AM - 1:20PM,College of Business Complex140,Elisa Romulo Borges,05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
ATR 5105C - Principles of Athletic Training with Lab,MoWeFr 12:00PM - 4:45PM,Ocean Bank Convoc Center 113,"Michelle Odai,",06/12/2024 - 07/26/2024,Modesto A. Maidique Campus
ATR 5105C - Principles of Athletic Training with Lab,MoWeFr 12:00PM - 4:45PM,Ocean Bank Convoc Center 119,Daniella Eiroa,06/12/2024 - 07/26/2024,Modesto A. Maidique Campus
ATR 5105C - Principles of Athletic Training with Lab,MoWeFr 12:00PM - 4:45PM,Ocean Bank Convoc Center 122,"Michelle Odai,",06/12/2024 - 07/26/2024,Modesto A. Maidique Campus
ATR 5105C - Principles of Athletic Training with Lab,MoWeFr 12:00PM - 4:45PM,Ocean Bank Convoc Center 112,Daniella Eiroa,06/12/2024 - 07/26/2024,Modesto A. Maidique Campus
ATR 5115C - Management of Medical Emergencies,TuTh 12:00PM - 4:45PM,Ocean Bank Convoc Center 119,"Rodrigo Martinez,",06/12/2024 - 07/26/2024,Modesto A. Maidique Campus
ATR 5115C - Management of Medical Emergencies,TuTh 12:00PM - 4:45PM,Ocean Bank Convoc Center 112,Robert Pons,06/12/2024 - 07/26/2024,Modesto A. Maidique Campus
ATR 5115C - Management of Medical Emergencies,TuTh 12:00PM - 4:45PM,Ocean Bank Convoc Center 113,"Rodrigo Martinez,",06/12/2024 - 07/26/2024,Modesto A. Maidique Campus
ATR 5115C - Management of Medical Emergencies,TuTh 12:00PM - 4:45PM,Ocean Bank Convoc Center 122,Robert Pons,06/12/2024 - 07/26/2024,Modesto A. Maidique Campus
ATR 5219C - Clinical Evaluation and Diagnosis in Athletic Training III,MoWe 8:00AM - 11:50AM,Ocean Bank Convoc Center 119,Ajaya Williams Sparrock,05/06/2024 - 05/13/2024,Modesto A. Maidique Campus
ATR 5219C - Clinical Evaluation and Diagnosis in Athletic Training III,MoWe 8:00AM - 11:50AM,Ocean Bank Convoc Center 112,Ajaya Williams Sparrock,05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
ATR 5219C - Clinical Evaluation and Diagnosis in Athletic Training III,MoWe 8:00AM - 11:50AM,Ocean Bank Convoc Center 113,Ajaya Williams Sparrock,05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
ATR 5219C - Clinical Evaluation and Diagnosis in Athletic Training III,MoWe 8:00AM - 11:50AM,Ocean Bank Convoc Center 122,Ajaya Williams Sparrock,05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
ATR 5219C - Clinical Evaluation and Diagnosis in Athletic Training III,We 8:00AM - 11:50AM,Ziff Education Bldg 110,Ajaya Williams Sparrock,05/15/2024 - 05/15/2024,Modesto A. Maidique Campus
ATR 5219C - Clinical Evaluation and Diagnosis in Athletic Training III,MoWe 8:00AM - 11:50AM,Ocean Bank Convoc Center 119,Ajaya Williams Sparrock,05/20/2024 - 05/27/2024,Modesto A. Maidique Campus
ATR 5219C - Clinical Evaluation and Diagnosis in Athletic Training III,MoWe 8:00AM - 11:50AM,Ziff Education Bldg 110,Ajaya Williams Sparrock,05/29/2024 - 06/03/2024,Modesto A. Maidique Campus
ATR 5219C - Clinical Evaluation and Diagnosis in Athletic Training III,MoWe 8:00AM - 11:50AM,Ocean Bank Convoc Center 119,Ajaya Williams Sparrock,06/05/2024 - 07/26/2024,Modesto A. Maidique Campus
ATR 5805 - Clinical Education Seminar in Athletic Training,Mo 9:30AM - 11:30AM,Ocean Bank Convoc Center 122,Rodrigo Martinez,06/17/2024 - 08/23/2024,Modesto A. Maidique Campus
ATR 5805 - Clinical Education Seminar in Athletic Training,Mo 9:30AM - 11:30AM,Ocean Bank Convoc Center 113,Rodrigo Martinez,06/17/2024 - 08/23/2024,Modesto A. Maidique Campus
ATR 5805 - Clinical Education Seminar in Athletic Training,Mo 9:30AM - 11:30AM,Ocean Bank Convoc Center 117,Rodrigo Martinez,06/17/2024 - 08/23/2024,Modesto A. Maidique Campus
ATR 5805 - Clinical Education Seminar in Athletic Training,Mo 9:30AM - 11:30AM,Ocean Bank Convoc Center 112,Rodrigo Martinez,06/17/2024 - 08/23/2024,Modesto A. Maidique Campus
ATR 5835L - Clinical Education III,Mo 1:00PM - 3:30PM,Ocean Bank Convoc Center 112,Rodrigo Martinez,05/06/2024 - 08/23/2024,Modesto A. Maidique Campus
ATR 5835L - Clinical Education III,Mo 1:00PM - 3:30PM,Ocean Bank Convoc Center 113,Rodrigo Martinez,05/06/2024 - 08/23/2024,Modesto A. Maidique Campus
ATR 5835L - Clinical Education III,Mo 1:00PM - 3:30PM,Ocean Bank Convoc Center 122,Rodrigo Martinez,05/06/2024 - 08/23/2024,Modesto A. Maidique Campus
ATR 5835L - Clinical Education III,Mo 1:00PM - 3:30PM,Ocean Bank Convoc Center 117,Rodrigo Martinez,05/06/2024 - 05/27/2024,Modesto A. Maidique Campus
ATR 5835L - Clinical Education III,Mo 1:00PM - 3:30PM,Ziff Education Bldg 110,Rodrigo Martinez,06/03/2024 - 06/03/2024,Modesto A. Maidique Campus
ATR 5835L - Clinical Education III,Mo 1:00PM - 3:30PM,Ocean Bank Convoc Center 117,Rodrigo Martinez,06/10/2024 - 08/23/2024,Modesto A. Maidique Campus
ATR 6620 - Research and Evidence-Based Practice in Athletic Training I,We 1:00PM - 4:00PM,Ocean Bank Convoc Center 112,"Michelle Odai,",05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
ATR 6620 - Research and Evidence-Based Practice in Athletic Training I,We 1:00PM - 4:00PM,Ocean Bank Convoc Center 122,Ajaya Williams Sparrock,05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
ATR 6620 - Research and Evidence-Based Practice in Athletic Training I,We 1:00PM - 4:00PM,Ocean Bank Convoc Center 113,"Michelle Odai,",05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
ATR 6620 - Research and Evidence-Based Practice in Athletic Training I,We 1:00PM - 4:00PM,Ocean Bank Convoc Center 117,Ajaya Williams Sparrock,05/08/2024 - 05/08/2024,Modesto A. Maidique Campus
ATR 6620 - Research and Evidence-Based Practice in Athletic Training I,We 1:00PM - 4:00PM,Ziff Education Bldg 110,"Michelle Odai,",05/15/2024 - 05/15/2024,Modesto A. Maidique Campus
ATR 6620 - Research and Evidence-Based Practice in Athletic Training I,We 1:00PM - 4:00PM,Ocean Bank Convoc Center 117,Ajaya Williams Sparrock,05/22/2024 - 05/22/2024,Modesto A. Maidique Campus
ATR 6620 - Research and Evidence-Based Practice in Athletic Training I,We 1:00PM - 4:00PM,Ziff Education Bldg 110,"Michelle Odai,",05/29/2024 - 05/29/2024,Modesto A. Maidique Campus
ATR 6620 - Research and Evidence-Based Practice in Athletic Training I,We 1:00PM - 4:00PM,Ocean Bank Convoc Center 117,Ajaya Williams Sparrock,06/05/2024 - 07/26/2024,Modesto A. Maidique Campus
BCH 3033 - General Biochemistry,TuTh 5:00PM - 6:35PM,Chem & Physics 151,Andre Da Costa Da Silva,05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
BCH 3033L - Gen.Biochemistry,Th 9:00AM - 12:50PM,Owa Ehan 295,"Jaime Mayoral,",05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
BCH 3033L - Gen.Biochemistry,Th 2:00PM - 5:50PM,Owa Ehan 295,"Jaime Mayoral,",05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
BSC 2010 - General Biology I,MoWe 12:00PM - 3:20PM,Academic Health Center 3 -110,Levy De Carvalho Gomes,05/06/2024 - 06/14/2024,Modesto A. Maidique Campus
BSC 2010 - General Biology I,TuTh 11:45AM - 1:20PM,Academic Health Center 3 -110,"Lauralis Correa,",05/06/2024 - 06/13/2024,Modesto A. Maidique Campus
BSC 2010 - General Biology I,TuTh 11:45AM - 1:20PM,SCH. INTER.&PUBLIC AFFAIRS 125,Thomas Pitzer,06/18/2024 - 07/26/2024,Modesto A. Maidique Campus
BSC 2010L - General Biology I Lab,Mo 8:00AM - 10:50AM,Owa Ehan 297,"Lauralis Correa,",05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
BSC 2010L - General Biology I Lab,Mo 11:00AM - 1:50PM,Owa Ehan 297,"Lauralis Correa,",05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
BSC 2010L - General Biology I Lab,Mo 2:00PM - 4:50PM,Owa Ehan 297,"Lauralis Correa,",05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
BSC 2010L - General Biology I Lab,Mo 5:00PM - 7:50PM,Owa Ehan 297,"Lauralis Correa,",05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
BSC 2010L - General Biology I Lab,Tu 1:30PM - 4:20PM,Owa Ehan 297,"Lauralis Correa,",05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
BSC 2010L - General Biology I Lab,Tu 4:30PM - 7:20PM,Owa Ehan 297,"Lauralis Correa,",05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
BSC 2010L - General Biology I Lab,We 8:00AM - 10:50AM,Owa Ehan 297,"Lauralis Correa,",05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
BSC 2010L - General Biology I Lab,We 11:00AM - 1:50PM,Owa Ehan 297,"Lauralis Correa,",05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
BSC 2010L - General Biology I Lab,We 2:00PM - 4:50PM,Owa Ehan 297,"Lauralis Correa,",05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
BSC 2010L - General Biology I Lab,We 5:00PM - 7:50PM,Owa Ehan 297,"Lauralis Correa,",05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
BSC 2010L - General Biology I Lab,Th 1:30PM - 4:20PM,Owa Ehan 297,"Lauralis Correa,",05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
BSC 2010L - General Biology I Lab,Th 4:30PM - 7:20PM,Owa Ehan 297,"Lauralis Correa,",05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
BSC 2010L - General Biology I Lab,Fr 8:00AM - 10:50AM,Owa Ehan 297,"Lauralis Correa,",05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
"BSC 2011 - General Biology II: Diversity of Life, Organismal Structure and Function",TuTh 8:15AM - 9:50AM,PG5 MARKET STATION 134,"Lauralis Correa,",05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
BSC 2011L - General Biology Lab II,Mo 9:00AM - 11:50AM,Owa Ehan 291,"Lauralis Correa,",05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
BSC 2011L - General Biology Lab II,Mo 12:00PM - 2:50PM,Owa Ehan 291,"Lauralis Correa,",05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
BSC 2011L - General Biology Lab II,Mo 3:00PM - 5:50PM,Owa Ehan 291,"Lauralis Correa,",05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
BSC 2011L - General Biology Lab II,Tu 12:00PM - 2:50PM,Owa Ehan 291,"Lauralis Correa,",05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
BSC 2011L - General Biology Lab II,Tu 3:00PM - 5:50PM,Owa Ehan 291,"Lauralis Correa,",05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
BSC 2011L - General Biology Lab II,We 9:00AM - 11:50AM,Owa Ehan 291,"Lauralis Correa,",05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
BSC 2011L - General Biology Lab II,We 12:00PM - 2:50PM,Owa Ehan 291,"Sofia Lial Vazquez,",05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
BSC 2011L - General Biology Lab II,We 3:00PM - 5:50PM,Owa Ehan 291,"Lauralis Correa,",05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
BSC 2011L - General Biology Lab II,Th 12:00PM - 2:50PM,Owa Ehan 291,"Lauralis Correa,",05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
BSC 2011L - General Biology Lab II,Th 3:00PM - 5:50PM,Owa Ehan 291,"Lauralis Correa,",05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
BSC 2011L - General Biology Lab II,Fr 9:00AM - 11:50AM,Owa Ehan 291,"Lauralis Correa,",05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
BSC 4363 - Biodiversity in the Caribbean Basin,MoWe 10:00AM - 11:35AM,Paul Cejas Architecture 135,"Lauralis Correa,",05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
BSC 4401 - Principles of Forensic Biology,TuTh 11:00AM - 12:35PM,Viertes Haus 131,Julian Mendel,05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
BSC 4401L - Principles of Forensic Biology Lab,Fr 11:00AM - 2:50PM,Chem & Physics 297,Julian Mendel,05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
"BSC 4422 - Biotechnology: Applications in Industry, Agriculture and Medicine",TuTh 11:45AM - 1:20PM,PG5 MARKET STATION 155,Paul Sharp,05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
BSC 4422L - Biotechnology Laboratory,Tu 6:30PM - 10:20PM,Academic Health Center 2 -270,Paul Sharp,05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
BSC 4422L - Biotechnology Laboratory,We 6:30PM - 10:20PM,Academic Health Center 2 -270,"Paul Sharp,",05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
BSC 4450L - Computational Biology Lab of Emerging Infectious Disease,TuTh 9:00AM - 12:00PM,Academic Health Center 5 212A,"Jessica Liberles,",05/06/2024 - 06/14/2024,Modesto A. Maidique Campus
BSC 4931 - Senior Seminar,We 10:00AM - 11:35AM,Academic Health Center 4 -302,John Geiger,05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
BSC 4931 - Senior Seminar,We 11:45AM - 1:20PM,Owa Ehan 222,John Geiger,05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
BSC 4931 - Senior Seminar,Th 8:30AM - 11:00AM,Graham Center 283B,Levy De Carvalho Gomes,05/06/2024 - 06/14/2024,Modesto A. Maidique Campus
MCB 3020L - General Microbiology Lab,Tu 9:00AM - 11:50AM,Academic Health Center 2 -280,"Jaime Mayoral,",05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
MCB 3020L - General Microbiology Lab,Tu 12:00PM - 2:50PM,Academic Health Center 2 -280,"Jaime Mayoral,",05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
MCB 3020L - General Microbiology Lab,Tu 3:00PM - 5:50PM,Academic Health Center 2 -280,"Jaime Mayoral,",05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
MCB 3020L - General Microbiology Lab,Th 9:00AM - 11:50AM,Academic Health Center 2 -280,"Jaime Mayoral,",05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
MCB 3020L - General Microbiology Lab,Th 12:00PM - 2:50PM,Academic Health Center 2 -280,"Jaime Mayoral,",05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
MCB 3020L - General Microbiology Lab,Th 3:00PM - 5:50PM,Academic Health Center 2 -280,"Jaime Mayoral,",05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
PCB 3043 - Ecology,MoWeFr 1:30PM - 3:45PM,Chem & Physics 145,John Cozza,05/06/2024 - 06/14/2024,Modesto A. Maidique Campus
PCB 3043 - Ecology,TuTh 11:45AM - 1:20PM,Charles E. Perry (PC) 310,John Geiger,05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
PCB 3043L - Ecology Lab,MoWe 9:00AM - 12:50PM,Owa Ehan 321,"Benjamin Sager,",05/06/2024 - 06/14/2024,Modesto A. Maidique Campus
PCB 3043L - Ecology Lab,Fr 8:00AM - 11:50AM,Owa Ehan 321,"Benjamin Sager,",05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
PCB 3043L - Ecology Lab,TuTh 9:00AM - 12:50PM,Owa Ehan 321,"Benjamin Sager,",05/06/2024 - 06/14/2024,Modesto A. Maidique Campus
PCB 3043L - Ecology Lab,Fr 12:00PM - 3:50PM,Owa Ehan 321,"Benjamin Sager,",05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
PCB 3043L - Ecology Lab,TuTh 3:30PM - 7:20PM,Owa Ehan 321,"Benjamin Sager,",05/06/2024 - 06/14/2024,Modesto A. Maidique Campus
PCB 3063 - Genetics,TuTh 1:00PM - 2:30PM,Viertes Haus 131,Melina Ribeiro,05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
PCB 3063 - Genetics,Tu 12:30PM - 2:05PM,College of Business Complex155,Manuel Barbieri,05/06/2024 - 07/26/2024,Modesto A. Maidique Campus
